name,p_loss,p_mag,p_el
unit,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing
53,5350.50919661194,2545.3767329799334,2805.132463632003
54,12896.305247122338,4650.322835661774,8245.982411460594
55,25988.03884302874,7683.069857578969,18304.968985449697
56,47003.499788546185,12201.383738052045,34802.116050494056
57,79119.83695696703,19036.33931485097,60083.49764211606
58,126753.2611799659,29465.468034921872,97287.79314504415
59,196258.65526419537,45565.04864779524,150693.60661640024
60,296942.57772004144,70864.60635936617,226077.97136067614
61,442142.6343004638,111435.86618275956,330706.7681177045
62,649002.7920793376,177304.7864394372,471698.0056399006
63,933124.3594156377,282917.89777127217,650206.4616443662
64,1293543.399899435,442737.6748323968,850805.7250670376
65,9963.790062954793,7993.2238487066425,1970.5662142481638
66,30977.028238218852,19746.574684137522,11230.453554081296
67,68201.77242384078,35156.082311236045,33045.690112604556
68,129562.70236429381,56109.45443688895,73453.24792740421
69,225718.32992721727,85845.55180924218,139872.77811797574
70,371309.54506048636,129415.76165567528,241893.78340481265
71,587108.1730856122,194836.8463973401,392271.32668827096
72,903265.0850847817,295304.88954523444,607960.1955395452
73,1363093.3154902814,452867.513405112,910225.802085169
74,2022749.6345234115,702745.533500212,1320004.101023196
75,2935190.5024608527,1092713.2137874651,1842477.2886733832
76,4111745.738548403,1671948.7053797115,2439797.033168688
77,5449805.853725011,2434743.6494250777,3015062.204299928
78,32566.037790951807,28130.84439805897,4435.193392892766
79,94303.55458546427,69008.74367077327,25294.810914691
80,195735.54479691395,121217.96298710837,74517.58180980622
81,355812.2724443299,189916.52258004228,165895.74986428747
82,601160.7633645629,284658.3039087604,316502.45945580065
83,969466.4709614194,421000.4787123494,548465.992249073
84,1515271.3990061213,624308.8153139665,890962.5836921532
85,2317760.9118794627,936460.9886027941,1381299.923276669
86,3485562.5109974113,1425268.867424463,2060293.6435729433
87,5129216.923660864,2180686.750173891,2948530.173486962
88,7288669.090540882,3288324.794053834,4000344.2964870916
89,9838156.202208754,4763325.679028659,5074830.52318012
90,12546406.525288174,6541289.0094471,6005117.515841071
91,77962.44934706448,70074.72588357473,7887.723463489773
92,216204.30979216078,171182.36891506703,45021.94087709383
93,431112.12554223416,298299.42093900405,132812.70460323014
94,758509.9470754426,462300.1228815039,296209.8241939389
95,1251137.6954626637,684804.3797163997,566333.3157462607
96,1985983.432426174,1002421.173577135,983562.2588490372
97,3076210.4819900985,1475978.9803697632,1600231.5016203406
98,4687014.213017173,2207505.663588343,2479508.549428825
99,7000040.942175714,3332442.8885605647,3667598.0536151757
100,10131748.65175067,4991470.458016568,5140278.193734079
101,13951195.399750847,7213851.653895218,6737343.745855602
102,18129518.011976685,9900488.59510831,8229029.416868353
103,22361904.729011897,12929440.03679636,9432464.69221548
104,2133.521243682931,1016.7216669865641,1116.799576696367
105,9042.419136369808,2557.055612675707,6485.363523694104
106,24428.44781054092,4746.790822973114,19681.656987567676
107,53922.85189475801,8165.639659425651,45757.21223533256
108,106769.95600898383,14082.632038681175,92687.32397030281
109,199377.9560778073,25408.654429218197,173969.30164858955
110,361811.00181749975,49247.803652340146,312563.1981651586
111,643629.7021593597,102736.96335012499,540892.7388092359
112,1086841.1599836717,218201.38482441293,868639.775159258
113,1613454.9359880416,413365.28412351373,1200089.6518645284
114,2034979.7107795724,641566.0128341787,1393413.6979453932
115,2303063.590078024,852118.5765961492,1450945.0134818766
116,2505798.4376261905,1045760.6086583214,1460037.828967869
117,12467.091022521157,7997.209307567138,4469.881714954031
118,45854.196783344174,19859.881387661302,25994.31539568281
119,115146.89474814554,36071.7373025647,79075.15744558083
120,245020.07987817947,60567.94457165731,184452.1353065216
121,477805.3309593059,102650.7252590736,375154.6057002318
122,891173.4817257139,184434.20044841533,706739.2812772962
123,1622407.981895435,357854.8909186926,1264553.0909767426
124,2844811.524653727,727353.623111863,2117457.901541864
125,4497646.8298033755,1383546.8343359048,3114099.9954674733
126,6125219.676285761,2235099.5216186843,3890120.1546670855
127,7412226.384343459,3111740.340075739,4300486.044267686
128,8448277.85396781,3964042.494534711,4484235.359433084
129,9456641.735338483,4848310.31223728,4608331.423101212
130,38212.165647415415,28147.591397762637,10064.574249652718
131,128103.34076570698,69476.08385659594,58627.25690911056
132,303828.770071938,124978.69354901598,178850.07652292223
133,626903.5094506765,208069.14537778683,418834.3640728903
134,1209299.6133224675,352827.131195451,856472.4821270127
135,2256251.475150564,639403.1383401855,1616848.3368103884
136,4098727.821063907,1242622.7111467065,2856105.1099171946
137,6899259.782034001,2378564.6450347225,4520695.136999272
138,10101787.423406245,3988478.3357284036,6113309.087677835
139,13036174.808879368,5802615.591554342,7233559.217325022
140,15506173.863144001,7656500.900240425,7849672.962903549
141,17755365.22641206,9558353.401148641,8197011.825263416
142,20019385.700579964,11577299.798516521,8442085.902063467
143,88031.10589401393,70123.06027883211,17908.045615182065
144,277041.59941962425,172530.83269460403,104510.76672501935
145,629026.0217612536,309166.18100128137,319859.84075997106
146,1267055.3333078276,514672.63722026173,752382.6960875677
147,2428995.9023880754,882211.8802413181,1546784.0221467586
148,4538156.379067207,1622787.7599508606,2915368.6191163515
149,8093383.4029429555,3093365.938945751,5000017.463997175
150,12784181.035506709,5373158.229580161,7411022.805926502
151,17571135.811495535,8145291.35081035,9425844.460685207
152,21941063.518271808,11131021.447530294,10810042.070741573
153,25810696.7225936,14231578.934545847,11579117.788047789
154,29447839.83782974,17437652.628932536,12010187.20889726
155,32989518.439121388,20757127.799067076,12232390.640054313
