name,hor_slit,vert_slit,w,l_r,a_e,matsw.comp1.core,b_mean,freq
unit,um,um,mm,mm,mm,,mT,kHz
group,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Geometry Sweep,Material Sweep,Excitation Sweep,Frequency Sweep
118,0.0,0.0,30.0,0.0,15.0,2.0,50.0,200.0
119,0.0,0.0,30.0,0.0,15.0,2.0,50.0,300.0
120,0.0,0.0,30.0,0.0,15.0,2.0,50.0,400.0
121,0.0,0.0,30.0,0.0,15.0,2.0,50.0,500.0
122,0.0,0.0,30.0,0.0,15.0,2.0,50.0,600.0
123,0.0,0.0,30.0,0.0,15.0,2.0,50.0,700.0
124,0.0,0.0,30.0,0.0,15.0,2.0,50.0,800.0
125,0.0,0.0,30.0,0.0,15.0,2.0,50.0,900.0
126,0.0,0.0,30.0,0.0,15.0,2.0,50.0,1000.0
127,0.0,0.0,30.0,0.0,15.0,2.0,50.0,1100.0
128,0.0,0.0,30.0,0.0,15.0,2.0,50.0,1200.0
129,0.0,0.0,30.0,0.0,15.0,2.0,50.0,1300.0
130,0.0,0.0,30.0,0.0,15.0,2.0,75.0,100.0
131,0.0,0.0,30.0,0.0,15.0,2.0,75.0,200.0
132,0.0,0.0,30.0,0.0,15.0,2.0,75.0,300.0
133,0.0,0.0,30.0,0.0,15.0,2.0,75.0,400.0
134,0.0,0.0,30.0,0.0,15.0,2.0,75.0,500.0
135,0.0,0.0,30.0,0.0,15.0,2.0,75.0,600.0
136,0.0,0.0,30.0,0.0,15.0,2.0,75.0,700.0
137,0.0,0.0,30.0,0.0,15.0,2.0,75.0,800.0
138,0.0,0.0,30.0,0.0,15.0,2.0,75.0,900.0
139,0.0,0.0,30.0,0.0,15.0,2.0,75.0,1000.0
140,0.0,0.0,30.0,0.0,15.0,2.0,75.0,1100.0
141,0.0,0.0,30.0,0.0,15.0,2.0,75.0,1200.0
142,0.0,0.0,30.0,0.0,15.0,2.0,75.0,1300.0
143,0.0,0.0,30.0,0.0,15.0,2.0,100.0,100.0
144,0.0,0.0,30.0,0.0,15.0,2.0,100.0,200.0
145,0.0,0.0,30.0,0.0,15.0,2.0,100.0,300.0
146,0.0,0.0,30.0,0.0,15.0,2.0,100.0,400.0
147,0.0,0.0,30.0,0.0,15.0,2.0,100.0,500.0
148,0.0,0.0,30.0,0.0,15.0,2.0,100.0,600.0
149,0.0,0.0,30.0,0.0,15.0,2.0,100.0,700.0
150,0.0,0.0,30.0,0.0,15.0,2.0,100.0,800.0
151,0.0,0.0,30.0,0.0,15.0,2.0,100.0,900.0
152,0.0,0.0,30.0,0.0,15.0,2.0,100.0,1000.0
153,0.0,0.0,30.0,0.0,15.0,2.0,100.0,1100.0
154,0.0,0.0,30.0,0.0,15.0,2.0,100.0,1200.0
155,0.0,0.0,30.0,0.0,15.0,2.0,100.0,1300.0
