name,b_eff,h_eff,mu_r,p_loss,p_mag,p_el
unit,T,A/m,1,W /m^3,W /m^3,W /m^3
group,post-processing,post-processing,post-processing,post-processing,post-processing,post-processing
62,0.050000000000000246,(20.450293127327804+2.201234103415027j),(1923.3476636937294-207.0258085635307j),282178.97821981367,246506.75330800677,35672.224911806996
63,0.04999999999999998,(20.153732565946562+2.6996636486099863j),(1939.4605705940098-259.7975924912307j),388654.07201935037,338950.38724930526,49703.6847700446
64,0.049999999999999996,(19.821483994690826+3.292053792984478j),(1953.4690110839724-324.4421592822792j),525773.0243715405,458714.6865388118,67058.33783272922
65,0.05000000000000009,(19.444730178238952+3.9870411069737814j),(1963.6877094380968-402.64398358948864j),699459.0242251074,611300.0695969014,88158.95462820529
66,0.07499999999999982,(31.983094925182765+1.2258754798213414j),(1863.3453674367913-71.41989859714607j),30054.07936279424,29710.977599158123,343.10176363608855
67,0.075,(31.762764999577744+1.524002613759587j),(1874.7114560049122-89.95014001566012j),74622.63849746577,72695.27915057479,1927.3593468910092
68,0.07500000000000001,(31.51396887577692+1.8037516067368375j),(1887.6777782990691-108.04420855494126j),132258.70072090035,126714.30767510568,5544.3930457942715
69,0.07499999999999991,(31.235273517417575+2.1248807963724317j),(1901.9577979659107-129.38684843450966j),207294.37078359746,195344.87265480054,11949.498128797057
70,0.07500000000000007,(30.925364074629805+2.5184656656217284j),(1917.193111586533-156.13025651840994j),306368.20487214415,284489.72779066226,21878.477081481637
71,0.07499999999999986,(30.581495150659578+3.0072325461794587j),(1932.9175401813468-190.0735234584866j),437887.23259313183,401822.80270181247,36064.42989131821
72,0.07499999999999998,(30.1989179167162+3.6103577628400285j),(1948.4832174184492-232.94614493045256j),611822.3052777685,556568.3387097503,55253.9665680169
73,0.07500000000000001,(29.770300486368505+4.345205597385838j),(1962.968330144948-286.51040924301464j),839606.2851213405,759383.6288405886,80222.65628075077
74,0.07500000000000007,(29.285070822421137+5.228139014126528j),(1975.0565194527237-352.5984317084212j),1134088.2063238318,1022299.1216622031,111789.08466163154
75,0.07499999999999983,(28.728622350850838+6.275011621909476j),(1982.8778568412547-433.10749274885865j),1509529.5637889297,1358703.2605831441,150826.3032057843
76,0.07499999999999989,(28.08134286291674+7.50145477406388j),(1983.8008531480464-529.9387729883556j),1981622.0115194498,1783353.5907970387,198268.42072241585
77,0.10000000000000023,(41.443900481239446+2.297386770246112j),(1914.2427945853394-106.11346953962628j),75546.22309431917,74937.28127267389,608.9418216452472
78,0.1000000000000003,(41.13905078687925+2.833541149093844j),(1925.220246240456-132.60371069453j),186029.7750026452,182609.18197978486,3420.5930228598345
79,0.1000000000000003,(40.79910204864738+3.308604536052892j),(1937.7278694805973-157.14010595025243j),325303.6069978321,315462.42662901914,9841.180368812335
80,0.09999999999999985,(40.41692257793536+3.830244684909529j),(1951.3891635062257-184.92991289223454j),501064.0441656144,479850.5948890849,21213.449276530984
81,0.10000000000000019,(39.98832217264185+4.4509321989803174j),(1965.665177164538-218.78993551376558j),726037.7998740021,687190.857654757,38846.942219245146
82,0.09999999999999964,(39.50701015313959+5.207636207630528j),(1979.8613226838472-260.9764057095146j),1016682.0307585645,952634.4483028151,64047.5824557462
83,0.10000000000000007,(38.963414699968865+6.13082135559317j),(1993.019834024522-313.59799069582215j),1392698.1471110007,1294552.4137152059,98145.73339579652
84,0.09999999999999977,(38.34355068796855+7.247745131785217j),(2003.7874946145907-378.75837784063145j),1876818.3621507012,1734296.4605099962,142521.90164070367
85,0.10000000000000007,(37.627774385331215+8.583861406707788j),(2010.2441447177168-458.5883011627084j),2494688.82951433,2296060.4435892343,198628.38592509666
86,0.1000000000000003,(36.7891763768685+10.16376443311876j),(2009.6780280578487-555.2147689948711j),3274894.5939775608,3006891.184956523,268003.409021042
87,0.1000000000000002,(35.79148294080464+12.011746920556702j),(1998.2958719659246-670.635087295666j),4249036.102709805,3896764.3855226063,352271.71718720044
88,0.02500000000000004,(11.181934341023622+0.13910766076006628j),(1778.8773247343072-22.12993350489139j),1143.3836228848054,1073.0042403369107,70.37938254789579
89,0.024999999999999998,(11.093631357604737+0.18768050451427706j),(1792.8011875318555-30.330359872569524j),3073.7413932677127,2677.944218324586,395.79717494312905
90,0.02500000000000007,(10.987282132995235+0.2450698239762125j),(1809.77196949255-40.36671604788534j),5994.740271720451,4854.263988600312,1140.4762831201388
91,0.02500000000000005,(10.864051378077493+0.3193680070225074j),(1829.629658888588-53.78520014436096j),10372.23345432529,7908.751404347225,2463.4820499780867
92,0.025000000000000064,(10.72471610896025+0.41560831538738663j),(1852.2202522114007-71.77795019719284j),16807.37338371726,12284.424257721315,4522.949125995887
93,0.024999999999999953,(10.569606148592367+0.5379404928742306j),(1877.3612066825247-95.54836751984885j),26016.71541974208,18536.353815616556,7480.361604125543
94,0.02500000000000007,(10.398552715328634+0.6901830436525799j),(1904.7948984010195-126.42693425733852j),38825.96555477894,27321.100897781995,11504.86465699697
95,0.0249999999999999,(10.210832384047107+0.8760481248604087j),(1934.1221017054966-165.93985453109522j),56169.25291628687,39391.57964352239,16777.67327276446
96,0.025000000000000088,(10.005108754371818+1.0992721491607378j),(1964.7037275185835-215.86412921995947j),79092.28432695355,55595.70574987621,23496.57857707718
97,0.025000000000000053,(9.77937162060053+1.3637186570460984j),(1995.5151009220795-278.2715780850506j),108759.66160701857,76879.23022617011,31880.431380848557
98,0.02499999999999997,(9.530875003783608+1.673474999746173j),(2024.9315170123766-355.54681690537916j),146467.00234715457,104293.75257892162,42173.249768233014
99,0.05000000000000004,(21.858469664481234+0.5347949065460404j),(1819.2002090261005-44.50901736069639j),8910.25528443707,8629.214063542579,281.0412208944912
100,0.049999999999999906,(21.682136312546657+0.6869913217796417j),(1833.252527669318-58.08600033616746j),22813.264169957434,21232.620709431932,1580.6434605254715
101,0.04999999999999998,(21.469740875352535+0.8469459618005848j),(1850.3676439083015-72.99395986905994j),42005.76402694786,37450.49661741233,4555.267409535448
102,0.05000000000000005,(21.222774762372186+1.0423473221154862j),(1870.3014661387954-91.8590404226923j),68596.1985074327,58754.70198697236,9841.496520460534
103,0.05000000000000012,(20.942101819509535+1.2887587356456638j),(1892.7718955684388-116.47953658242488j),105496.18305779323,87423.16441462933,18073.018643163876
104,0.04999999999999994,(20.62750170315144+1.5982626716864352j),(1917.4057516441887-148.56467270884215j),156265.6406252311,126368.11181989037,29897.5288053405
105,0.05000000000000004,(20.27746265941791+1.9815672262687654j),(1943.6533876646226-189.9389443793969j),225060.09886029724,179066.79201339404,45993.30684690284
106,0.05000000000000004,(19.8889669065716+2.448816482896642j),(1970.6685467840161-242.63731959331463j),316613.7061727393,249528.30387304418,67085.4022996955
107,0.04999999999999992,(19.457245027330483+3.0100484766081865j),(1997.1355981781417-308.9581776059313j),436253.60929053463,342292.9580548594,93960.65123567621
108,0.04999999999999996,(18.975524788783808+3.6754896132536787j),(2021.0199079318095-391.4641498702059j),589931.9119175147,462451.96182284737,127479.9500946662
109,0.050000000000000024,(18.434742669414938+4.455816876822757j),(2039.219505859318-492.89479396039144j),784288.9581917413,615704.5688394222,168584.3893523168
110,0.07499999999999991,(31.94767079825249+1.2520423027969598j),(1865.2870828331602-73.10136470717606j),31626.182609756706,30995.258684536144,630.9239252205313
111,0.07499999999999993,(31.68000967315701+1.5746214129167344j),(1879.293018318089-93.40827412360107j),79272.07896516734,75723.41526580381,3548.663699363277
112,0.07499999999999993,(31.359503809039087+1.8861791925332108j),(1896.330032617033-114.05850907204368j),141855.10867828748,131626.18154300298,10228.927135284628
113,0.07499999999999979,(30.98568315659234+2.247526479802535j),(1916.0700800638488-138.98090354624486j),224277.15467306,202172.45181471636,22104.702858343207
114,0.07500000000000012,(30.55843357557263+2.690195812564549j),(1938.0611418060187-170.61620502525776j),333801.69166924316,293196.83363565605,40604.85803358816
115,0.07499999999999979,(30.075802654972957+3.2375567343510543j),(1961.6909908961004-211.16928951657846j),479520.06887390325,412328.3824297033,67191.68644420039
116,0.07499999999999979,(29.53347802672939+3.909718426595127j),(1986.0567392615671-262.9193426770362j),672164.7890413848,568768.1310077113,103396.65803367225
117,0.0750000000000001,(28.924263304281673+4.725410784767299j),(2009.7850270456188-328.3423242955803j),924055.3635755155,773202.2448483207,150853.1187271978
118,0.07500000000000034,(28.23750601486652+5.702949201172099j),(2030.7770234013103-410.1430982349417j),1249128.460295927,1037805.7742530645,211322.6860428625
119,0.07499999999999991,(27.458449109191836+6.860836197676651j),(2045.8536124351774-511.18205778942206j),1663031.5693557092,1376323.0678432295,286708.5015124762
120,0.07499999999999993,(26.567409634940756+8.218244736970187j),(2050.2890230390703-634.227318522548j),2183307.3355967337,1804264.8148428707,379042.520753862
121,0.1000000000000003,(41.378412842645496+2.3521094564445986j),(1916.9697785058565-108.96799644995417j),80069.98917131302,78951.49986901131,1118.489302301471
122,0.09999999999999987,(41.00888554503774+2.9266449881728924j),(1930.6603053221452-137.78373226529j),198451.45220878738,192160.77211425488,6290.680094532688
123,0.09999999999999971,(40.57432313669044+3.445698700360353j),(1947.2332980176652-165.3651552405209j),349099.4450882578,330962.2088788078,18137.236209450406
